ID,BANK NAME,IFSC_CODE,MICR_CODE,BRANCH_NAME,POSTAL ADDRESS,CONTACT NO/FAX NO,CENTRE/CITY,DISTRICT,STATE
KACE0000001,The Kangra Central Cooperative Bank Ltd,KACE0000001,,HEAD OFFICE,CIVIL LINES DHARMSALA DISTT KANGRA H.P. 176215,SH. J.S. RANA,DHARAMSALA,KANGRA,HIMACHAL PRADESH
KACE0000002,The Kangra Central Cooperative Bank Ltd,KACE0000002,176850052,DHARAMSHALA,CIVIL LINES DHARMSALA DISTT KANGRA H.P. 176215,SH. KULDEEP BHARDWAJ,DHARAMSALA,KANGRA,HIMACHAL PRADESH
KACE0000003,The Kangra Central Cooperative Bank Ltd,KACE0000003,176850074,NURPUR,TEHSIL NURPUR DISTT. KANGRA 176202,SH. BALBIR SINGH,NURPUR,KANGRA,HIMACHAL PRADESH
KACE0000004,The Kangra Central Cooperative Bank Ltd,KACE0000004,176850102,MAIN BAZAR PALAMPUR,MAIN BAZAR PALAMPUR DISTT. KANGRA H.P.,SH. KULBHUSAN,PALAMPUR,KANGRA,HIMACHAL PRADESH
KACE0000005,The Kangra Central Cooperative Bank Ltd,KACE0000005,177850002,HAMIRPUR,TEHSIL & DISTT. HAMIRPUR H.P.177001,DH. VINOD KUMAR,HAMIRPUR,HAMIRPUR,HIMACHAL PRADESH
KACE0000006,The Kangra Central Cooperative Bank Ltd,KACE0000006,175850002,KULLU,TEHSIL & DISTT KULLU H.P. 175101,SH. MAN SINGH,KULLU,KULLU,HIMACHAL PRADESH
KACE0000007,The Kangra Central Cooperative Bank Ltd,KACE0000007,,KEYLONG,TEHSIL KEYLONG DISTT LAHUL & SPITI 175132,SH. RAGHUBIR SINGH,KEYLONG,LAHUL & SPITI,HIMACHAL PRADESH
KACE0000008,The Kangra Central Cooperative Bank Ltd,KACE0000008,176850157,DEHRA,TEHSIL DEHRA DISTT. KANGRA H.P.177101,SH. SANJEEVAN KUMAR,DEHRA,KANGRA,HIMACHAL PRADESH
KACE0000009,The Kangra Central Cooperative Bank Ltd,KACE0000009,,AMB,VPO AMB TEHSIL AMB DISTT UNA H.P. 177203,SH. MANOJ BAROTIA,AMB,UNA,HIMACHAL PRADESH
KACE0000010,The Kangra Central Cooperative Bank Ltd,KACE0000010,175850004,BANJAR,"NEAR OLD BUS STAND,V.P.O:- BANJAR,TEHSIL:- BANJAR, DISTRICT:- KULLU. (H.P). PIN:- 175123",SH.BASANT SINGH CHAUHAN.,BANJAR,KULLU,HIMACHAL PRADESH
KACE0000011,The Kangra Central Cooperative Bank Ltd,KACE0000011,177850011,BARSAR,V.P.O. BARSAR DISTT. HAMIRPUR,SH. HANS RAJ,BARSAR,HAMIRPUR,HIMACHAL PRADESH
KACE0000012,The Kangra Central Cooperative Bank Ltd,KACE0000012,176850173,NAGROTA BAGWAN,V.P.O NAGROTA BAGWAN DISTT. KANGRA 176047,SH. S.M. DHIMAN,NAGROTA BAGWAN,KANGRA,HIMACHAL PRADESH
KACE0000013,The Kangra Central Cooperative Bank Ltd,KACE0000013,174850102,UNA,TEHSIL & DISTT. UNA H.P. 174303,SH. ASHOK PURI,UNA,UNA,HIMACHAL PRADESH
KACE0000014,The Kangra Central Cooperative Bank Ltd,KACE0000014,,DAULTPUR CHOWK,VPO DAULATPUR CHOWK TEHSIL AMB DISTT. UNA 177204,SH. RAKESH KUMAR,DAULATPUR,UNA,HIMACHAL PRADESH
KACE0000015,The Kangra Central Cooperative Bank Ltd,KACE0000015,176850054,KANDRORI,TEHSIL INDORA DISTT. KANGRA 176402,SH. ANIL SHARMA,KANDROORI,KANGRA,HIMACHAL PRADESH
KACE0000016,The Kangra Central Cooperative Bank Ltd,KACE0000016,176850103,BAIJNATH,TEHSIL BAIJNATH DISTT. KANGRA 176225,SH. VIPUL KUMAR,BAIJNATH,KANGRA,HIMACHAL PRADESH
KACE0000017,The Kangra Central Cooperative Bank Ltd,KACE0000017,,CHINTPURNI,VPO CHINTPURNI TEHSIL AMB DISTT. UNA H.P. 177110,SH. MALOOK SINGH,CHINTPURNI,UNA,HIMACHAL PRADESH
KACE0000018,The Kangra Central Cooperative Bank Ltd,KACE0000018,177850012,NADAUN,TEHSIL NADAUN DISTT. HAMIRPUR H.P. 177033,SH. MANOHAR LAL,NADAUN,HAMIRPUR,HIMACHAL PRADESH
KACE0000019,The Kangra Central Cooperative Bank Ltd,KACE0000019,176850104,LAMBAGAON,TEHSIL JAISINGHPUR DISTT KANGRA H.P. 176096,SH. BENI CHAND,LAMBAGAON,KANGRA,HIMACHAL PRADESH
KACE0000020,The Kangra Central Cooperative Bank Ltd,KACE0000020,175850005,ANI," V.P.O:- ANNI, TEHSIL:- ANNI, DISTRICT:- KULLU.(H.P).PIN:- 172026.",SH. KHIALA RAM SHARMA.,ANI,KULLU,HIMACHAL PRADESH
KACE0000021,The Kangra Central Cooperative Bank Ltd,KACE0000021,176850158,HARIPUR,TEHSIL DEHRA DISTT. KANGRA H.P. 176028,SH. VINOD KUMAR,HARIPUR,KANGRA,HIMACHAL PRADESH
