ID,BANKNAME,IFSC,MICR_CODE,BRANCH,ADDRESS,CONTACT1,CENTRE,DISTRICT,STATE
PRTH0000001,Prathama Bank,PRTH0000001,,"PRATHAMA BANK, HEAD OFFICE","PRATHAMA BHAVAN, RAM GANGA VIHAR, MORADABAD",05912455176,MORADABAD,MORADABAD,UTTAR PRADESH
PRTH0011000,Prathama Bank,PRTH0011000,,RO MORADABAD,"PRATHAMA BHAVAN, RAM GANGA VIHAR, MORADABAD",09837001680,MORADABAD,MORADABAD,UTTAR PRADESH
PRTH0011009,Prathama Bank,PRTH0011009,,AGHWANPUR,P.O. AGHWANPUR TEH. MORADABAD DISTT. MORADABAD.,05912511354,AGHWANPUR,MORADABAD,UTTAR PRADESH
PRTH0011011,Prathama Bank,PRTH0011011,,MOONDA PANDAY,P.O. MOONDA PANDAY TEH.MORADABAD DISTT. MORADABAD.,05912255014,MOONDAPANDE,MORADABAD,UTTAR PRADESH
PRTH0011012,Prathama Bank,PRTH0011012,,PAKBARA,P.O. PAKBARA TEH.MORADABAD DISTT. MORADABAD.,05912360317,PAKWARA,MORADABAD,UTTAR PRADESH
PRTH0011015,Prathama Bank,PRTH0011015,,R. N SAHASPUR,P.O. R.N. SAHASPUR TEH.BILARI DISTT. MORADABAD.,05921270702,MORADABAD,MORADABAD,UTTAR PRADESH
PRTH0011016,Prathama Bank,PRTH0011016,,KUNDARKI,P.O. KUNDERKI TEH.BILARI DISTT. MORADABAD.,05921222225,KUNDARKI,MORADABAD,UTTAR PRADESH
PRTH0011025,Prathama Bank,PRTH0011025,244843002,MORADABAD MAIN,"A-77 GANDHI NAGAR, PRINCE ROAD, P.O. MORADABAD, DISTT MORADABAD",05912491046,MORADABAD,MORADABAD,UTTAR PRADESH
PRTH0011026,Prathama Bank,PRTH0011026,,SARKARAKHAS,P.O. SARKARA KHAS TEH.MORADABAD DISTT. MORADABAD,05912257036,SARKARA KHAS,MORADABAD,UTTAR PRADESH
PRTH0011030,Prathama Bank,PRTH0011030,,FATEHPUR VISHNOI,P.O. FATHPUR VISHNOI TEHSIL KANTH DISTT. MORADABAD,05922227022,FATEHPUR VISHNOI,MORADABAD,UTTAR PRADESH
PRTH0011042,Prathama Bank,PRTH0011042,,SEONDARA,"P.O. SEONDARA TEHSIL BILARI, DISTT. MORDABAD",05921244294,SEONDARA,MORADABAD,UTTAR PRADESH
PRTH0011048,Prathama Bank,PRTH0011048,,LODHIPUR JAWAHAR NAGAR,P.O. KAZIPURA TEHSIL. MORADABAD DISTT. MORADABAD,05912483494,LODHIPUR,MORADABAD,UTTAR PRADESH
PRTH0011052,Prathama Bank,PRTH0011052,244843006,HARTHALA,P.O. HARTHALA TEHSIL. & DISTT. MORADABAD,05912450253,HARTHALA,MORADABAD,UTTAR PRADESH
PRTH0011055,Prathama Bank,PRTH0011055,,JARGAON,P.O. JARGAON TEHSIL. CHANDAUSI DISTT. MORADABAD,9756799055,JARGOAN,MORADABAD,UTTAR PRADESH
PRTH0011058,Prathama Bank,PRTH0011058,244843003,LALBAGH,P.O. MORDABAD TEHSIL.&DISTT. MORADABAD,9756799058,MORADABAD,MORADABAD,UTTAR PRADESH
PRTH0011059,Prathama Bank,PRTH0011059,244843004,KATGHAR,P.O. MAQBARA TEHSIL.MORDABAD DISTT. MORADABAD,9756799059,MORADABAD,MORADABAD,UTTAR PRADESH
PRTH0011060,Prathama Bank,PRTH0011060,,TAJPUR MAAFI,P.O. BHANSIA TEHSIL. & DISTT. MORDABAD,9756799060,TAJPUR MAFI,MORADABAD,UTTAR PRADESH
PRTH0011063,Prathama Bank,PRTH0011063,,SAKTOO NAGLA,P.O. SARKARA KHAS TEHSIL. & DISTT. MORADABAD,9756799063,SAKTOONAGLA,MORADABAD,UTTAR PRADESH
