ID,BANK,IFSC,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT DETAILS 1,CENTRE,DISTRICT,STATE
VVSB0000002,Vasai Vikas Sahakari Bank Ltd,VVSB0000002,400803002,VASAI,"SAMAJ MANDIR', OPP. NEW ENGLISH SCHOOL, VASAI (W), DIST. THANE 401 201 TEL : 0250 - 2322617, 2326984, 2326998",MRS. VARSHA CHAUDHARI,PAPADI,THANE,MAHARASHTRA
VVSB0000003,Vasai Vikas Sahakari Bank Ltd,VVSB0000003,400803003,VIRAR,"THAKUR ARCADE, NEAR RAILWAY STATION, VIRAR (W), DIST THANE - 401 303 TEL : 0250 - 2502733, 2502536",MRS. KALPANA CHURI,VIRAR,THANE,MAHARASHTRA
VVSB0000004,Vasai Vikas Sahakari Bank Ltd,VVSB0000004,400803004,NAVGHAR,"ADINATH APT., AMBADI ROAD, NAVGHAR, VASAI (W), DIST. THANE - 401 201 TEL : 0250 - 2334398, 2348946",MR. KHALID NAKID,VASAI,THANE,MAHARASHTRA
VVSB0000005,Vasai Vikas Sahakari Bank Ltd,VVSB0000005,400803005,PALGHAR,"MUDRA SHOPPING COMPLEX, KACHERI ROAD, PALGHAR (W), DIST. THANE - 401 404, TEL : 02525 - 251409,251410",MR. NILESH VARTAK,PALGHAR,THANE,MAHARASHTRA
VVSB0000006,Vasai Vikas Sahakari Bank Ltd,VVSB0000006,400803006,SAPHALE,"SHREE APARTMENT, NEAR RAILWAY STATION, NALLASOPARA (W), DIST. THANE - 401 203, TEL : 0250 - 2403582",MR. JITENDRA PATIL,SAPHALA,THANE,MAHARASHTRA
VVSB0000007,Vasai Vikas Sahakari Bank Ltd,VVSB0000007,400803007,NALASOPARA,"DEVBHOOMI COMMERCIAL COMPLEX, NEAR SAPHALE STATION, SAPHALE (E), DIST. THANE - 401 102, TEL : 952525 - 230539",MR. ANJUM PATEL,NALLASOPARA,THANE,MAHARASHTRA
VVSB0000008,Vasai Vikas Sahakari Bank Ltd,VVSB0000008,400803008,BORIVALI,"NEW KRISHNA NIWAS, CHANDAVARKAR CROSS ROAD, BORIVALI (W), MUMBAI 400 092, TEL : 022 - 28956608 / 09 /10 ",MRS. SMITA SAVE,MUMBAI,GREATER BOMBAY,MAHARASHTRA
VVSB0000009,Vasai Vikas Sahakari Bank Ltd,VVSB0000009,400803009,THANE,"VARDHAMAN INDUSTRIAL COMPLEX PREMISES CO OP. SOC. LTD., UNIT NO. 3,GOKUL NAGAR, OPP. JARIMARI MATA MANDIR, NEAR NAVNIT MOTORS, L.B.S. MARG, THANE (W) - 400 601. TEL.:022-21721013/14",MR. SANTOSH SAWANT,THANE,THANE,MAHARASHTRA
VVSB0000010,Vasai Vikas Sahakari Bank Ltd,VVSB0000010,400803010,NARINGI,"GROUND FLOOR, GALA NO. 10,11,12, SIDHI VINAYAK ARCADE, NEAR MAKWANA COMPLEX, V. S. MARG, VIRAR (E), DIST. THANE",MRS. SAMPADA RAUT,VIRAR,THANE,MAHARASHTRA
VVSB0000011,Vasai Vikas Sahakari Bank Ltd,VVSB0000011,400803011,BOLINJ,"SHOP NO. H/11, 1ST FLOOR, KINGSTON TOWER, ABOVE DOMINOS PIZZA,  OPPOSITE VIVA COLLEGE, VIRAR (WEST), DIST. THANE ",MRS. CHARUSHEELA VARTAK,BOLINJ,THANE,MAHARASHTRA
VVSB0000012,Vasai Vikas Sahakari Bank Ltd,VVSB0000012,400803012,MIRA ROAD,"GOVIND SHANTINAGAR C.H.S, FLAT NO.1 & SHOP NO.12/13/14, SECTOR 5, NEAR JAIN MANDIR, BLDG. NO. B-31, GROUND FLOOR, MIRA ROAD, DIST THANE. ",MRS. SHEETAL RAUT,MIRA-BHAYANDAR,THANE,MAHARASHTRA
VVSB0000013,Vasai Vikas Sahakari Bank Ltd,VVSB0000013,401802001,BOISAR,"YASH SIDDHI RESIDENCY; BOISAR PALGHAR ROAD; BESIDE HOTEL SUN ROSE; BOISAR (WEST) MAHARASHTRA,",MR. MILIND PATIL,BOISAR,THANE,MAHARASHTRA
VVSB0000014,Vasai Vikas Sahakari Bank Ltd,VVSB0000014,400803013,SATIVALI-WALIV,"SHOP NO 6, 7, 8, 9 & FLAT NO 1, 2 & 3, OMKAR BLDG; VILLAGE SATHIVALI WALIV, VASAI (E), DIST. THANE ",MR. SUDHAKAR PANDIT,SATIVALI,THANE,MAHARASHTRA
