ID,BANK,IFSC,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT DETAILS,CENTRE,DISTRICT,STATE
KNSB0000001,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0000001,,HEAD OFFICE,"KURMANCHAL BHAWAN, TALLITAL","05946-236574,05946-231525",NAINITAL,NAINITAL,UTTARANCHAL
KNSB0010001,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010001,263846003,SADAR BAZAR HALDWANI,"GOPALJI COMPLEX, SADAR BAZAR","9456596401,05946-250150",HALDWANI,NAINITAL,UTTARANCHAL
KNSB0010002,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010002,263846304,BALIKA,M L SAH BALIKA VIDYA MANDIR ATI ROAD,"9456596402,05942-237413",NAINITAL,NAINITAL,UTTARANCHAL
KNSB0010003,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010003,263846102,ALMORA,"HOTEL HIM TOWER CAMPUS, MAIN MARKET","9456596403,05962-233344",ALMORA,ALMORA,UTTARANCHAL
KNSB0010004,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010004,263846702,BAGEHWAR,STATION ROAD,"9456596404,05963-220094",BAGESHWAR,BAGESHWAR,UTTARANCHAL
KNSB0010005,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010005,263846302,MALLITAL,"SHYAMA HOUSE, MALLITAL","9456596405,05942-235427",NAINITAL,NAINITAL,UTTARANCHAL
KNSB0010006,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010006,262846602,CHAMPAWAT,"SAH COMPLEX, BANK ROAD","9456596406,05965-230430",CHAMPAWAT,CHAMPAWAT,UTTARANCHAL
KNSB0010007,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010007,263846002,MUKHANI,"VERMA COMPLEX, MUKHANI CHAURAHA, KALADUNGI ROAD","9456596407,05946-264433",HALDWANI,NAINITAL,UTTARANCHAL
KNSB0010008,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010008,249846102,RISHIKESH,"1, AVDHOOT ASHRAM ROAD","9456596408,0135-2439725",RISHIKESH,DEHRA DUN,UTTARANCHAL
KNSB0010009,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010009,262846351,TANAKPUR,SHARDA BARRAGE ROAD,"9456596409,05943-265474",TANAKPUR,UDHAM SINGH NAGAR,UTTARANCHAL
KNSB0010010,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010010,263846303,TALLITAL,"KURMANCHAL BHAWAN, TALLITAL","9456596410,05942-237440",NAINITAL,NAINITAL,UTTARANCHAL
KNSB0010011,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010011,263846005,DURGA CITY CENTRE,"DURGA CITY CENTER, NAINITAL ROAD","9456596411,05946-283389",HALDWANI,NAINITAL,UTTARANCHAL
KNSB0010012,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010012,263846006,TRANSPORT NAGAR HALDWANI,"MANPUR UTTAR, RAMPUR ROAD, TRANSPORT NAGAR",9456596412,DEVELCHAUR,NAINITAL,UTTARANCHAL
KNSB0010013,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010013,263846402,GADARPUR,"GULARBHOJ ROAD, MAIN MARKET","9456596413,05949-271052",GADARPUR,UDHAM SINGH NAGAR,UTTARANCHAL
KNSB0010014,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010014,262846302,KHATIMA,SITARGANJ ROAD,"9456596414,05943-250881",KHATIMA,UDHAM SINGH NAGAR,UTTARANCHAL
KNSB0010015,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010015,262846502,SITARGANJ,GURUDWARA ROAD,"9456596415,05948-253392",SITARGANJ,UDHAM SINGH NAGAR,UTTARANCHAL
KNSB0010016,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010016,262846202,BAZPUR,ADARSH KANYA VIDYALAYA,"9456596416,05949-281865",BAZPUR,UDHAM SINGH NAGAR,UTTARANCHAL
KNSB0010017,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010017,263846004,MANDI HALDWANI,NAVEEN ADARSH MANDI,"9456596417,05946-246006",HALDWANI,NAINITAL,UTTARANCHAL
KNSB0010018,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010018,244846402,RAMNGAR,"41, NANDA LINE","9456596418,05947-251236",RAMNAGAR,NAINITAL,UTTARANCHAL
KNSB0010019,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010019,244846202,KASHIPUR,MATA MANDIR MARG,"9456596419,05947-279961",KASHIPUR,UDHAM SINGH NAGAR,UTTARANCHAL
KNSB0010020,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010020,263846202,RUDRAPUR,VIR HAKIKAT RAI MARG,"9456596420,05944-243468",RUDRAPUR,UDHAM SINGH NAGAR,UTTARANCHAL
KNSB0010021,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010021,263846502,KICHHA,PANT MARKET,"9456596421,05944-264296",KICHHA,UDHAM SINGH NAGAR,UTTARANCHAL
KNSB0010022,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010022,262846802,PITHORAGARH,"MEHRA MARKET, SILTHAM","9456596422,05964-224935",PITHORAGARH,PITHORAGARH,UTTARANCHAL
KNSB0010023,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010023,263846305,BHOWALI,"HOTEL TOURIST CAMPUS, MAIN CHAURAHA","9456596423,05942-220103",BHOWALI,NAINITAL,UTTARANCHAL
KNSB0010024,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010024,248846003,DHARAMPUR,"HARIDWAR ROAD, DHARAMPUR","9456596424,0135-2679961",DHARAMPUR,DEHRA DUN,UTTARANCHAL
KNSB0010025,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010025,248846002,DEHRADUN,"60, ARHAT BAZAR, NEAR SHIVAJI, DHARMSHALA, SAHARANPUR ROAD","9456596425,0135-2620539",DEHRADUN,DEHRA DUN,UTTARANCHAL
KNSB0010026,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010026,248846004,PALTON BAZAR,"91/66, FRUIT MARKET, PALTAN BAZAR","9456596426,0135-2711539",DEHRADUN,DEHRA DUN,UTTARANCHAL
KNSB0010027,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010027,249846002,HARIDWAR,"STATION ROAD, GURU MANDAL ASHRAM, DEVPURA","9456596427,01334-223331",HARDWAR,HARIDWAR,UTTARANCHAL
KNSB0010028,Kurmanchal Nagar Sahkari Bank Ltd,KNSB0010028,246846802,KOTDWAR,NAJIBABAD ROAD,"9456596428,01382-229923",KOTDWARA,GARHWAL,UTTARANCHAL
