ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
RATN0000001,The Ratnakar Bank Ltd,RATN0000001,416176002,SHAHUPURI - KOLHAPUR,"1ST LANE, SHAHUPURI, KOLHAPUR 416001",0231-2653658,KOLHAPUR,KOLHAPUR,MAHARASHTRA
RATN0000002,The Ratnakar Bank Ltd,RATN0000002,416176003,LAXMIPURI - KOLHAPUR,"NEAR KOLHAPUR MUNCIPAL COPORATION, LAXMI ROAD, LAXMIPURI, KOLHAPUR 416002",0231-2644749,KOLHAPUR,KOLHAPUR,MAHARASHTRA
RATN0000003,The Ratnakar Bank Ltd,RATN0000003,NON-MICR,SANGLI (MAIN),"RATNA-JADAV BLDG, HUTATMA PATRAVALI RD,VAKHARBHAG, SANGLI 416416",0233-2622022,SANGLI,SANGLI,MAHARASHTRA
RATN0000004,The Ratnakar Bank Ltd,RATN0000004,NON-MICR,MIRAJ,"WAGHMODE BUILDING, NEAR LAXMI MARKET, MIRAJ 416410",0233-2227149,MIRAJ,SANGLI,MAHARASHTRA
RATN0000005,The Ratnakar Bank Ltd,RATN0000005,NON-MICR,JAYSINGPUR,"MALU BULIDING, SUBHASH ROAD, JAYSINGPUR 416101",02322-227160,JAYSINGPUR,KOLHAPUR,MAHARASHTRA
RATN0000006,The Ratnakar Bank Ltd,RATN0000006,NON-MICR,PETH VADGAON,"393, SAVARDEKAR BUILDING, PETH VADGAON TAL.HATKANANGALE DIST. KOLHAPUR",0230-2471041,PETH VADGAON,KOLHAPUR,MAHARASHTRA
RATN0000007,The Ratnakar Bank Ltd,RATN0000007,NON-MICR,HUPARI,"923/4 SHELAR BULIDING, HUPARI TAL.HATKANANGALE DIST. KOLHAPUR",0230-2450043,HUPARI,KOLHAPUR,MAHARASHTRA
RATN0000008,The Ratnakar Bank Ltd,RATN0000008,NON-MICR,RUKADI,"MAIN ROAD, RUKADI, TAL. HATKANANGALE DIST. KOLHAPUR",0230-2585524,RUKADI,KOLHAPUR,MAHARASHTRA
RATN0000009,The Ratnakar Bank Ltd,RATN0000009,NON-MICR,ICHALKARANJI,"7356, MAIN ROAD, ICHALKARANJI TAL. HATKANANGALE DIST. KOLHAPUR",0230-2433853,ICHALKARANJI,KOLHAPUR,MAHARASHTRA
RATN0000010,The Ratnakar Bank Ltd,RATN0000010,416176004,MARKETYARD KOLHAPUR,"179/B, E-WARD, SHRI SHAHU MARKET YARD, KOLHAPUR 416005",0231-2662778,KOLHAPUR,KOLHAPUR,MAHARASHTRA
RATN0000011,The Ratnakar Bank Ltd,RATN0000011,NON-MICR,MARKETYARD SANGLI,"PLOT  NO.88, BANK BUILDING, MARKET YARD SANGLI 416416",0233-2670580,SANGLI,SANGLI,MAHARASHTRA
RATN0000012,The Ratnakar Bank Ltd,RATN0000012,NON-MICR,MHAISAL,"406, GRAMPANCHAYAT BUILDING, MHAISAL. TAL. MIRAJ DIST. SANGLI",0233-2251236,MHAISAL,SANGLI,MAHARASHTRA
RATN0000013,The Ratnakar Bank Ltd,RATN0000013,400176002,GIRGAUM -MUMBAI,"RAJENDRA MANSION, JAGANNATH SHANKARSHET ROAD, GIRGAUM MUMBAI 400004",022-23802033,MUMBAI,GREATER BOMBAY,MAHARASHTRA
RATN0000014,The Ratnakar Bank Ltd,RATN0000014,NON-MICR,BHILAWADI,"DAKSHIN BHAG VIKAS SOCIETY.BLDG, BHILAWADI, TAL. PALUS DIST. SANGLI",02346-237263,BHILAWADI,SANGLI,MAHARASHTRA
RATN0000015,The Ratnakar Bank Ltd,RATN0000015,,NANDRE,"249, E WARD, SOCIETY BLDG. NANDRE - 416 423. TAL.MIRAJ, DIST.SANGLI.",0233-2473123,NANDRE,SANGLI,MAHARASHTRA
