ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
SBIN0000001,STATE BANK OF INDIA,SBIN0000001,700002021,KOLKATA MAIN,KOLKATA,KOLKATA,WEST BENGAL
SBIN0000002,STATE BANK OF INDIA,SBIN0000002,799002002,AGARTALA,AGARTALA,WEST TRIPURA,TRIPURA
SBIN0000003,STATE BANK OF INDIA,SBIN0000003,224002001,AKABARPUR,AMBEDKAR NAGAR,KANPUR DEHAT,UTTAR PRADESH
SBIN0000004,STATE BANK OF INDIA,SBIN0000004,700002002,ALIPORE,KOLKATA,KOLKATA,WEST BENGAL
SBIN0000005,STATE BANK OF INDIA,SBIN0000005,736002501,ALIPURDUAR,JALPAIGURI,JALPAIGURI,WEST BENGAL
SBIN0000006,STATE BANK OF INDIA,SBIN0000006,211002002,ALLAHABAD,ALLAHABAD,ALLAHABAD,UTTAR PRADESH
SBIN0000007,STATE BANK OF INDIA,SBIN0000007,759002001,ANGUL,ANGUL,ANGUL,ORISSA
SBIN0000008,STATE BANK OF INDIA,SBIN0000008,712002102,ARAMBAGH,ARAMBAGH,HOOGHLY ,WEST BENGAL
SBIN0000009,STATE BANK OF INDIA,SBIN0000009,854002002,ARARIA,ARARIA,ARARIA,BIHAR
SBIN0000010,STATE BANK OF INDIA,SBIN0000010,802002102,AARAH,BHOJPUR,BHOJPUR,BIHAR
SBIN0000011,STATE BANK OF INDIA,SBIN0000011,713002100,ASANSOL,ASANSOL,BARDHAMAN ,WEST BENGAL
SBIN0000012,STATE BANK OF INDIA,SBIN0000012,761002010,ASKA,ASKA,GANJAM,ORISSA
SBIN0000013,STATE BANK OF INDIA,SBIN0000013,824002002,AURANGABAD,AURANGABAD,AURANGABAD,BIHAR
SBIN0000014,STATE BANK OF INDIA,SBIN0000014,276002001,AZAMGARH,AZAMGARH,AZAMGARH,UTTAR PRADESH
SBIN0000015,STATE BANK OF INDIA,SBIN0000015,271002035,BAHRAICH,PRATAPGARH,BAHRAICH,UTTAR PRADESH
SBIN0000016,STATE BANK OF INDIA,SBIN0000016,756002001,BALASORE,BALASORE,BALASORE,ORISSA
SBIN0000017,STATE BANK OF INDIA,SBIN0000017,277002002,BALLIA,BALLIA,BALIA ,UTTAR PRADESH
SBIN0000018,STATE BANK OF INDIA,SBIN0000018,700002010,BALLYGUNGE,KOLKATA,KOLKATA,WEST BENGAL
SBIN0000019,STATE BANK OF INDIA,SBIN0000019,271002028,BALRAMPUR,BALRAMPUR,BALRAMPUR,UTTAR PRADESH
SBIN0000020,STATE BANK OF INDIA,SBIN0000020,733002102,BALURGHAT,BALURGHAT,SOUTH DINAJPUR ,WEST BENGAL
SBIN0000021,STATE BANK OF INDIA,SBIN0000021,210002016,BANDA,BANDA,BANDA,UTTAR PRADESH
SBIN0000022,STATE BANK OF INDIA,SBIN0000022,722002002,BANKURA,BANKURA,BANKURA,WEST BENGAL
SBIN0000023,STATE BANK OF INDIA,SBIN0000023,225002001,BARABANKI,BARABANKI,BARABANKI ,UTTAR PRADESH
SBIN0000024,STATE BANK OF INDIA,SBIN0000024,700002184,BARASAT,BARASAT,KOLKATA,WEST BENGAL
SBIN0000025,STATE BANK OF INDIA,SBIN0000025,768002013,BARGARH,BARGARH,BARGAH ,ORISSA
SBIN0000026,STATE BANK OF INDIA,SBIN0000026,803002102,BARH,BARH,PATNA,BIHAR
SBIN0000027,STATE BANK OF INDIA,SBIN0000027,757002001,BARIPADA,BARIPADA,MAYURBHANJ,ORISSA
SBIN0000028,STATE BANK OF INDIA,SBIN0000028,781002102,BARPETA,BARPETA,BARPETA,ASSAM
SBIN0000029,STATE BANK OF INDIA,SBIN0000029,700002214,BARRACKPORE,BARRACKPORE,NORTH 24 PARGANAS,WEST BENGAL
SBIN0000030,STATE BANK OF INDIA,SBIN0000030,743002101,BASHIRHAT,BASHIRHAT,NORTH 24 PARGANAS,WEST BENGAL
SBIN0000031,STATE BANK OF INDIA,SBIN0000031,272002001,BASTI,BASTI,BASTI,UTTAR PRADESH
SBIN0000032,STATE BANK OF INDIA,SBIN0000032,851002102,BEGUSARAI,BEGUSARAI,BEGUSARAI,BIHAR
SBIN0000033,STATE BANK OF INDIA,SBIN0000033,760002991,BERHAMPUR,BERHAMPUR,GANJAM,ORISSA
SBIN0000034,STATE BANK OF INDIA,SBIN0000034,742002001,BERHAMPORE,BERHAMPORE,MURSHIDABAD ,WEST BENGAL
SBIN0000035,STATE BANK OF INDIA,SBIN0000035,845002902,BETTIAH,BETTIAH,WEST CHAMPARAN ,BIHAR
SBIN0000036,STATE BANK OF INDIA,SBIN0000036,756002100,BHADRAK,BHADRAK,BHADRAK,ORISSA
