ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
UTIB0000001,AXIS BANK LTD,UTIB0000001,,TREASURY OPERATIONS,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000003,AXIS BANK LTD,UTIB0000003,380211002,AHMEDABAD BRANCH,AHMEDABAD,AHMEDABAD ,GUJARAT
UTIB0000004,AXIS BANK LTD,UTIB0000004,400211002,MUMBAI BRANCH,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000005,AXIS BANK LTD,UTIB0000005,700211002,KOLKATA BRANCH,KOLKATA,KOLKATA,WEST BENGAL
UTIB0000006,AXIS BANK LTD,UTIB0000006,600211002,CHENNAI,CHENNAI,CHENNAI,TAMIL NADU
UTIB0000007,AXIS BANK LTD,UTIB0000007,110211002,NEW DELHI,DELHI,NEW DELHI ,DELHI
UTIB0000008,AXIS BANK LTD,UTIB0000008,500211002,HYDERABAD,HYDERABAD,HYDERABAD URBAN ,ANDHRA PRADESH
UTIB0000009,AXIS BANK LTD,UTIB0000009,560211002,BANGALORE,BANGALORE,BANGALORE URBAN,KARNATAKA
UTIB0000010,AXIS BANK LTD,UTIB0000010,302211002,JAIPUR,JAIPUR,JAIPUR,RAJASTHAN
UTIB0000011,AXIS BANK LTD,UTIB0000011,700211003,GOLPARK,KOLKATA,KOLKATA,WEST BENGAL
UTIB0000012,AXIS BANK LTD,UTIB0000012,831211002,JAMSHEDPUR,JAMSHEDPUR,PURBI SINGHBHUM,JHARKHAND
UTIB0000013,AXIS BANK LTD,UTIB0000013,390211002,VADODARA,VADODARA,VADODARA,GUJARAT
UTIB0000014,AXIS BANK LTD,UTIB0000014,600211003,T NAGAR,CHENNAI,CHENNAI,TAMIL NADU
UTIB0000015,AXIS BANK LTD,UTIB0000015,110211003,GREEN PARK,DELHI,NEW DELHI ,DELHI
UTIB0000016,AXIS BANK LTD,UTIB0000016,600211004,"ANNA NAGAR, CHENNAI",CHENNAI,CHENNAI,TAMIL NADU
UTIB0000017,AXIS BANK LTD,UTIB0000017,700211004,KANKURGACHI,KOLKATA,KOLKATA,WEST BENGAL
UTIB0000018,AXIS BANK LTD,UTIB0000018,400211003,BORIVALI (WEST),MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000019,AXIS BANK LTD,UTIB0000019,400211004,VASAI,THANE,THANE,MAHARASHTRA
UTIB0000020,AXIS BANK LTD,UTIB0000020,400211006,ANDHERI,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000021,AXIS BANK LTD,UTIB0000021,700211005,NABAPALLY,NABAPALLY,NORTH 24 PARGANAS,WEST BENGAL
UTIB0000022,AXIS BANK LTD,UTIB0000022,110211004,NOIDA,NOIDA,GAUTAM BODDA NAGAR ,UTTAR PRADESH
UTIB0000023,AXIS BANK LTD,UTIB0000023,400211005,VIRAR,THANE,THANE,MAHARASHTRA
UTIB0000024,AXIS BANK LTD,UTIB0000024,751211002,BHUBANESHWAR,BHUBANESWAR,KHURDA,ORISSA
UTIB0000025,AXIS BANK LTD,UTIB0000025,700211006,SALT LAKE CITY -KOLKATA,KOLKATA,KOLKATA,WEST BENGAL
UTIB0000026,AXIS BANK LTD,UTIB0000026,700211007,BAGUIATI,KOLKATA,KOLKATA,WEST BENGAL
UTIB0000027,AXIS BANK LTD,UTIB0000027,500211003,TARNAKA,SECUNDERABAD CANTONMENT,HYDERABAD URBAN ,ANDHRA PRADESH
UTIB0000028,AXIS BANK LTD,UTIB0000028,400211007,"UTI BANK, BANDRA",MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000029,AXIS BANK LTD,UTIB0000029,400211008,GHATKOPAR,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000030,AXIS BANK LTD,UTIB0000030,500211004,"JUBILEE HILLS, HYDERABAD",HYDERABAD,HYDERABAD URBAN ,ANDHRA PRADESH
UTIB0000031,AXIS BANK LTD,UTIB0000031,302211003,"TILAK NAGAR, JAIPUR",JAIPUR,JAIPUR,RAJASTHAN
UTIB0000032,AXIS BANK LTD,UTIB0000032,380211003,VASTRAPUR,AHMEDABAD,AHMEDABAD ,GUJARAT
UTIB0000033,AXIS BANK LTD,UTIB0000033,700211008,KONNAGAR,KONNAGAR,HOOGHLY ,WEST BENGAL
UTIB0000034,AXIS BANK LTD,UTIB0000034,700211009,BEHALA,KOLKATA,KOLKATA,WEST BENGAL
UTIB0000035,AXIS BANK LTD,UTIB0000035,734211002,SILIGURI,SILIGURI,DARJEELING ,WEST BENGAL
UTIB0000036,AXIS BANK LTD,UTIB0000036,400211009,PANVEL,PANVEL,RAIGAD,MAHARASHTRA
UTIB0000037,AXIS BANK LTD,UTIB0000037,411211002,PUNE,PUNE,PUNE,MAHARASHTRA
UTIB0000038,AXIS BANK LTD,UTIB0000038,388211002,"VALLABH VIDYANAGAR, GUJRAT",VALLABH VIDYANAGAR,ANAND ,GUJARAT
UTIB0000039,AXIS BANK LTD,UTIB0000039,110211005,BALLABHGARH,FARIDABAD,FARIDABAD,HARYANA
UTIB0000040,AXIS BANK LTD,UTIB0000040,110211006,PITAMPURA,DELHI,NEW DELHI ,DELHI
UTIB0000041,AXIS BANK LTD,UTIB0000041,160211001,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH
UTIB0000042,AXIS BANK LTD,UTIB0000042,141211002,LUDHIANA,LUDHIANA,LUDHIANA,PUNJAB
UTIB0000043,AXIS BANK LTD,UTIB0000043,452211002,INDORE,INDORE,INDORE,MADHYA PRADESH
UTIB0000044,AXIS BANK LTD,UTIB0000044,462211002,BHOPAL,BHOPAL,BHOPAL,MADHYA PRADESH
UTIB0000045,AXIS BANK LTD,UTIB0000045,700211010,TOLLYGUNGE,KOLKATA,KOLKATA,WEST BENGAL
UTIB0000046,AXIS BANK LTD,UTIB0000046,680211002,THRISSUR,THRISSUR,TRISSUR ,KERALA
UTIB0000047,AXIS BANK LTD,UTIB0000047,395211002,SURAT,SURAT,SURAT,GUJARAT
UTIB0000048,AXIS BANK LTD,UTIB0000048,440211002,NAGPUR,NAGPUR,NAGPUR,MAHARASHTRA
UTIB0000049,AXIS BANK LTD,UTIB0000049,110211007,GREATER KAILASH,DELHI,NEW DELHI ,DELHI
UTIB0000050,AXIS BANK LTD,UTIB0000050,171211002,SHIMLA,SIMLA,SHIMLA ,HIMACHAL PRADESH
UTIB0000051,AXIS BANK LTD,UTIB0000051,686211002,KOTTAYAM,KOTTAYAM,KOTTAYAM,KERALA
UTIB0000052,AXIS BANK LTD,UTIB0000052,560211003,JAYANAGAR,BANGALORE,BANGALORE URBAN,KARNATAKA
UTIB0000053,AXIS BANK LTD,UTIB0000053,226211002,LUCKNOW,LUCKNOW,LUCKNOW,UTTAR PRADESH
UTIB0000054,AXIS BANK LTD,UTIB0000054,110211009,SHAKTI NAGAR,DELHI,NEW DELHI ,DELHI
UTIB0000055,AXIS BANK LTD,UTIB0000055,110211010,SWASTHYA VIHAR - NEW DELHI,DELHI,NEW DELHI ,DELHI
UTIB0000056,AXIS BANK LTD,UTIB0000056,110211008,GURGAON,GURGAON,GURGAON,HARYANA
UTIB0000057,AXIS BANK LTD,UTIB0000057,342211002,JODHPUR,JODHPUR,JODHPUR,RAJASTHAN
UTIB0000058,AXIS BANK LTD,UTIB0000058,380211004,VEJALPUR,AHMEDABAD,AHMEDABAD ,GUJARAT
UTIB0000059,AXIS BANK LTD,UTIB0000059,396211002,VALSAD,BULSAR,VALSAD,GUJARAT
UTIB0000060,AXIS BANK LTD,UTIB0000060,400211010,WORLI,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000061,AXIS BANK LTD,UTIB0000061,400211013,THANE,THANE,THANE,MAHARASHTRA
UTIB0000062,AXIS BANK LTD,UTIB0000062,400211011,MALAD,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000063,AXIS BANK LTD,UTIB0000063,400211012,CHEMBUR,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000064,AXIS BANK LTD,UTIB0000064,400211014,VILE PARLE -(WEST) -MUMBAI,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000065,AXIS BANK LTD,UTIB0000065,560211004,"BASAVESHWAR NAGAR, BANGALORE",BANGALORE,BANGALORE URBAN,KARNATAKA
UTIB0000066,AXIS BANK LTD,UTIB0000066,110211011,RAJOURI GARDEN,DELHI,NEW DELHI ,DELHI
UTIB0000067,AXIS BANK LTD,UTIB0000067,160211002,PANCHKULA,PANCHKULA,PANCHKULA,HARYANA
UTIB0000068,AXIS BANK LTD,UTIB0000068,500211005,SECUNDERABAD,SECUNDERABAD CANTONMENT,HYDERABAD URBAN ,ANDHRA PRADESH
UTIB0000069,AXIS BANK LTD,UTIB0000069,520211002,VIJAYAWADA,VIJAYAWADA,KRISHNA,ANDHRA PRADESH
UTIB0000070,AXIS BANK LTD,UTIB0000070,522211102,GUNTUR,GUNTUR,GUNTUR,ANDHRA PRADESH
UTIB0000071,AXIS BANK LTD,UTIB0000071,144211002,PHAGWARA,PHAGWARA,KAPURTHALA,PUNJAB
UTIB0000072,AXIS BANK LTD,UTIB0000072,400211015,VASHI,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000073,AXIS BANK LTD,UTIB0000073,411211003,"BUND GARDEN ROAD BRANCH,PUNE",PUNE,PUNE,MAHARASHTRA
UTIB0000074,AXIS BANK LTD,UTIB0000074,600211005,"RAMAPURAM,CHENNAI",CHENNAI,CHENNAI,TAMIL NADU
UTIB0000075,AXIS BANK LTD,UTIB0000075,530211002,GAJUWAKA,VISAKHAPATNAM,VISHAKAPATNAM ,ANDHRA PRADESH
UTIB0000076,AXIS BANK LTD,UTIB0000076,533211002,"KAKINADA , ANDHRA  PRADESH",KAKINADA,EAST GODAVARI,ANDHRA PRADESH
UTIB0000077,AXIS BANK LTD,UTIB0000077,575211003,MANGALORE,MANGALORE,DAKSHINA KANNADA ,KARNATAKA
UTIB0000078,AXIS BANK LTD,UTIB0000078,403211003,PANAJI (GOA),PANAJI,NORTH GOA,GOA
UTIB0000079,AXIS BANK LTD,UTIB0000079,110211012,VIKASPURI,DELHI,NEW DELHI ,DELHI
UTIB0000080,AXIS BANK LTD,UTIB0000080,380211005,MANINAGAR,AHMEDABAD,AHMEDABAD ,GUJARAT
UTIB0000081,AXIS BANK LTD,UTIB0000081,682211002,KOCHI,KOCHI,ERNAKULAM,KERALA
UTIB0000082,AXIS BANK LTD,UTIB0000082,600211006,ADYAR,CHENNAI,CHENNAI,TAMIL NADU
UTIB0000083,AXIS BANK LTD,UTIB0000083,600211007,MADIPAKKAM,CHENNAI,CHENNAI,TAMIL NADU
UTIB0000084,AXIS BANK LTD,UTIB0000084,700211011,SHYAMBAZAR (CALCUTTA),KOLKATA,KOLKATA,WEST BENGAL
UTIB0000085,AXIS BANK LTD,UTIB0000085,160211003,MOHALI,SAS NAGAR(MOHALI),RUPNAGAR,PUNJAB
