ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,,CONTACT,CITY,DISTRICT
ASBL0000001,Apna Sahakari Bank Ltd,ASBL0000001,400098001,TREASURY,"APNA BANK BHAVAN, DR.S.SRAO ROAD,PAREL, MUMBAI 400012.",,022 24110149/ 022 24136294,MUMBAI,GREATER BOMBAY
ASBL0000002,Apna Sahakari Bank Ltd,ASBL0000002,400098002,ADMINISTRATION OFFICE,"APNA BANK BHAVAN, DR.S.SRAO ROAD,PAREL, MUMBAI 400012.",,022 24174860/022 24174861,MUMBAI,GREATER BOMBAY
ASBL0000003,Apna Sahakari Bank Ltd,ASBL0000003,400098003,NAIGAON,"APNA BAZAR, 1ST FLOOR, GOVINDJI KENY ROAD, NAIGAON, MUMBAI 400014",,022 24127875 022 24163947/ 24154054,MUMBAI,GREATER BOMBAY
ASBL0000004,Apna Sahakari Bank Ltd,ASBL0000004,400098004,LOWER PAREL,"MATULYA CENTRE, JN.OF G.K.MARG & J PHATANKAR MARG, MUMBAI 400013",,022 24947332/ 24931968/ 24947331,MUMBAI,GREATER BOMBAY
ASBL0000005,Apna Sahakari Bank Ltd,ASBL0000005,400098005,DR AMBEDKAR ROAD,"DHANU BLDG., DR AMBEDKAR ROAD, PAREL, MUMBAI 400012",,022 24130752/24147875/ 24110708,MUMBAI,GREATER BOMBAY
ASBL0000006,Apna Sahakari Bank Ltd,ASBL0000006,400098006,DADASAHEB SARFARE CHOWK,"A-4/5, RAYOL INDUSTRIAL ESTATE, WADALA, MUMBAI 400031",,022 24148481/24185128/24132297,MUMBAI,GREATER BOMBAY
ASBL0000007,Apna Sahakari Bank Ltd,ASBL0000007,400098007,ANDHERI,"1ST FLOOR, APNA BAZAR, J.P.ROAD, ANDHERI (W), MUMBAI 400058",,022 26744861/26743080/26744643,MUMBAI,GREATER BOMBAY
ASBL0000008,Apna Sahakari Bank Ltd,ASBL0000008,400098008,MALAD (W),"SHYAM SADAM, MITH CHOWKI, MARVE LINK ROAD, MALAD (W), MUMBAI 400064",,022 28820732/28800470,MUMBAI,GREATER BOMBAY
ASBL0000009,Apna Sahakari Bank Ltd,ASBL0000009,400098009,DINDOSHI,"GAURAV, GOKULDHAM, GEN,ARUNKUMAR VAIDYA MARG, GOREGAON (E), MUMBAI 400063",,022 28400446/28405445/28404559,MUMBAI,GREATER BOMBAY
ASBL0000010,Apna Sahakari Bank Ltd,ASBL0000010,400098010,POWAI,"DAFFODIL, 1ST FLOOR, HIRANANDANI GARDEN, POWAI, MUMBAI 400076",,022 25703097/ 25702614,MUMBAI,GREATER BOMBAY
ASBL0000011,Apna Sahakari Bank Ltd,ASBL0000011,400098011,KURLA,"SHATRUNJAY COMPLEX, TANAJI CHOWK, KURLA (W), MUMBAI 400070",,022 26501515/ 26427830,MUMBAI,GREATER BOMBAY
ASBL0000012,Apna Sahakari Bank Ltd,ASBL0000012,400098012,CHARKOP,"SECTOR-5, APNA BAZAR BLDG., DR. AMBEDKAR ROAD, CHARKOP, KANDIVALI (W), MUMBAI 400067",,022 28688666/28633444,MUMBAI,GREATER BOMBAY
