ID,BANK,IFSC_CODE,MICR_CODE,BRANCH,ADDRESS,CONTACT,CENTRE,DISTRICT,STATE
CRUB0000001,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000001,,HO,"JANADHAR BHAVAN, JALNA ROAD, BEED, DIST. BEED.STATE:MAHARASHTRA-431122","9422240542 : CONTACT PERSON:MR CHANDANSHIV B.N.-CEO 2442222154,2442226064",BHID,BID,MAHARASHTRA
CRUB0000002,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000002,431840302,MAIN,"JANADHAR BHAVAN, JALNA ROAD, BEED,DIST. BEED.STATE:MAHARASHTRA-431122",9422240592 : CONTACT PERSON:MR THORAT V.D.-BM 2442224206,BHID,BID,MAHARASHTRA
CRUB0000003,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000003,431840303,MARKET YARD,"MONDHA, BEED, DIST. BEED,STATE:MAHARASHTRA-431122.",9423691657 : CONTACT PERSON:MR  KOTULE B.U.-BM 2442227223,BHID,BID,MAHARASHTRA
CRUB0000004,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000004,431840501,KAIJ,"KANADI ROAD, KAIJ, DIST. BEED,STATE:MAHARASHTRA-431123",9423690974 : CONTACT PERSON:MR PAWAR B.A.-BM 2445252657,KAIJ,BID,MAHARASHTRA
CRUB0000005,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000005,431840252,MAJALGAON,"COURT ROAD, MAJALGAON,  DIST. BEED,STATE:MAHARASHTRA-431131",8275080688 : CONTACT PERSON: MR NEVADE S.B.-BM 2443234136,MANJLEGAON,BID,MAHARASHTRA
CRUB0000006,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000006,431840502,GEORAI,"MAIN ROAD, GEORAI, DIST. BEED,STATE:MAHARASHTRA-431127",8275058587 : CONTACT PERSON:MR JADHAV S.B.-BM 2447262149,GEORAI,BID,MAHARASHTRA
CRUB0000007,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000007,431840352,PARLI,"VAIDYANATH SHOPPING COMPLEX, PARLI,DIST. BEED,STATE:MAHARASHTRA-431515",9422241824 : CONTACT PERSON:MR KANTHALE B.K.-BM 2446223113,PARLI-VAIJNATH,BID,MAHARASHTRA
CRUB0000008,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000008,431840002,JALNA ROAD AURANGABAD,"YASH TOWER, NEAR NAIK COLLEGE, JALNA ROAD, CIDCO, AURANGABAD DIST AURANGABAD, STATE: MAHARASHTRA-431 001",9423690973 : CONTACT PERSON:MR THORE P.N. -BM 2402484056,AURANGABAD,AURANGABAD,MAHARASHTRA
CRUB0000010,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000010,431840304,NAGAR ROAD,"SHIVAJI NAGAR, BEED,DIST. BEED,STATE:MAHARASHTRA-431122",9422240568 : CONTACT PERSON:MR JOSHI R.V.-BM 2431224249,BHID,BID,MAHARASHTRA
CRUB0000011,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000011,414816001,AHEMADNAGAR,"AADISH PLAZA, IST FLOOR, SAVEDI ROAD, DIST. AHEMADNAGAR,STATE:MAHARASHTRA-414001",9422240549 : CONTACT PERSON:MR CHALAK M.G.- BM 2412426154,AHMADNAGAR,AHMADNAGAR,MAHARASHTRA
