ID,BANKNAME,IFSC_CODE,MICR,BRANCH,POSTAL ADDRESS,CONTACT,CENTRE,DISTRICT,STATE
TDCB0000001,The Thane District Central Co-Op Bank Ltd,TDCB0000001,400-524-001,HEAD OFFICE (SERVICE BRANCH),"SHIVAJI PATH, POST BOX 19,THANE (W), PIN 400601,",022-25333014,THANE,THANE,MAHARASHTRA
TDCB0000002,The Thane District Central Co-Op Bank Ltd,TDCB0000002,400-524-028,ARNALA,"NEAR ARNALA MACHHIMAR SOCIETY LTD, KILL ROAD,AT & POST-ARNALA, TALUKA- VASAI,  PIN-401304.",0250-2587504,ARNALA,THANE,MAHARASHTRA
TDCB0000006,The Thane District Central Co-Op Bank Ltd,TDCB0000006,400-524-002,VIRAR,"SURYA DARSHAN,1ST FLOOR, VEER SAVARKAR MARG, VIRAR (E.) TALUKA-VASAI, PIN-401303",0250-2527348,VIRAR,THANE,MAHARASHTRA
TDCB0000009,The Thane District Central Co-Op Bank Ltd,TDCB0000009,400-524-029,NIRMAL,"GAJANAN PRASAD BUILDING, AT & POST NIRMAL, TAL-VASAI,  PIN-401304",0250-2470243,NIRMAL,THANE,MAHARASHTRA
TDCB0000010,The Thane District Central Co-Op Bank Ltd,TDCB0000010,400-524-026,BHIWANDI,"CITY CENTER BUILDING, PRABHU ALI, MANDAI, TALUKA & POST BHIWANDI, PIN-421302",02522-250885,BHIWANDI,THANE,MAHARASHTRA
TDCB0000017,The Thane District Central Co-Op Bank Ltd,TDCB0000017,N/A,DAHANU,"AASTHA ABOD CO-OP.HOUSING SOC. LTD., GR.FLOOR,TALUKA-DAHANU, PIN-401601",02528-222308,DAHANU,THANE,MAHARASHTRA
TDCB0000018,The Thane District Central Co-Op Bank Ltd,TDCB0000018,N/A,DAHANU ROAD,"OM DATTA NARAYAN BAG CO-OP. HOUSING SOC.LTD., GALA NO 8 & 11, NEAR POST OFFICE, DAHANU RD, TALUKA- DAHANU, PIN-401602",02528-222452,DAHANU ROAD,THANE,MAHARASHTRA
TDCB0000019,The Thane District Central Co-Op Bank Ltd,TDCB0000019,N/A,BORDI,"BORDI BAZAR, POST-BORDI, TALUKA-DAHANU, PIN-401701",02528-254042,BORDI,THANE,MAHARASHTRA
TDCB0000022,The Thane District Central Co-Op Bank Ltd,TDCB0000022,N/A,VANGAON,"MOHAN APARTMENT, 1SR FLOOR, STATION RD. POST-VANGAON,TALUKA-DAHANU, PIN-401103",02528-244022,VANGAON,THANE,MAHARASHTRA
TDCB0000023,The Thane District Central Co-Op Bank Ltd,TDCB0000023,N/A,JAWHAR,"CHHATRAPATI SHIVAJI PATH, AT & POST-JAWHAR, PIN-401603",02520-222424,JAWHAR,THANE,MAHARASHTRA
TDCB0000024,The Thane District Central Co-Op Bank Ltd,TDCB0000024,N/A,VIKRAMGAD,"AT & POST-VIKRAMGAD, TALUKA-VIKRAMGAD, PIN-401605",02520-240024,VIKRAMGAD,THANE,MAHARASHTRA
TDCB0000025,The Thane District Central Co-Op Bank Ltd,TDCB0000025,400-524-019,KALYAN,"SAI VIHAR BUILDING, NEW SHIVAJI PATH, TAL.KALYAN PIN CODE-421 301.",0251-2315062,KALYAN,THANE,MAHARASHTRA
