ID,BANK,IFSC,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT DETAILS,CENTRE,DISTRICT,STATE
JPCB0000001,The Jalgaon Peoples Co-Op Bank,JPCB0000001,425836001,MAIN BRANCH,"152,POLAN PETH,DANA BAZAR, JALGAON-425001",(0257 ) 2227711-16,JALGAON,JALGAON,MAHARASHTRA
JPCB0000002,The Jalgaon Peoples Co-Op Bank,JPCB0000002,425836002,JILLHA PETH BRANCH,"NEARJDCC HEAD OFFICE,RING ROAD,JALGAON-425001",(0257 ) 2240645-47,JALGAON,JALGAON,MAHARASHTRA
JPCB0000003,The Jalgaon Peoples Co-Op Bank,JPCB0000003,425836003,GANESHWADI BRANCH,"7,DIXIT WADI,OPP.TOLKATA,NEAR HEAD PO,JALGAON-425001",(0257 ) 2237714,JALGAON,JALGAON,MAHARASHTRA
JPCB0000004,The Jalgaon Peoples Co-Op Bank,JPCB0000004,425836004,VITTHAL PETH BRANCH,"485,VITHAL PETH,JALGAON-425001",(0257 ) 2227718,JALGAON,JALGAON,MAHARASHTRA
JPCB0000005,The Jalgaon Peoples Co-Op Bank,JPCB0000005,425836005,MIDC BRANCH,"NR. HOTEL TRIMURTI AJINTHA RD,JALGAON-425003",(0257 ) 2272811-13,JALGAON,JALGAON,MAHARASHTRA
JPCB0000006,The Jalgaon Peoples Co-Op Bank,JPCB0000006,425836006,GANESH COLONY BRANCH,"ALAJI SANKUL,OPP.UNITY CHAMBER,JALGAON-425001",(0257 ) 2252704,JALGAON,JALGAON,MAHARASHTRA
JPCB0000007,The Jalgaon Peoples Co-Op Bank,JPCB0000007,425836007,M.J. COLLEGE BRANCH,"M.J.COLLEGE CAMPUS,JALGAON-425002",(0257 ) 2227703,JALGAON,JALGAON,MAHARASHTRA
JPCB0000008,The Jalgaon Peoples Co-Op Bank,JPCB0000008,425836008,NASHIRABAD BRANCH,"KHALACHI AALI,NASHIRABAD,DIST-JALGAON",(0257 ) 2356254,NASHIRABAD,JALGAON,MAHARASHTRA
JPCB0000009,The Jalgaon Peoples Co-Op Bank,JPCB0000009,425836009,ASODA BRANCH,"NEAR WATER TANK,ASODA,DIST-JALGAON",(0257 ) 2357517,ASODA,JALGAON,MAHARASHTRA
JPCB0000010,The Jalgaon Peoples Co-Op Bank,JPCB0000010,425836010,BHADLI BRANCH,"NEAR POST OFFICE,BHADALI,DIST-JALGAON",(0257 ) 2465629,BHADLI,JALGAON,MAHARASHTRA
JPCB0000011,The Jalgaon Peoples Co-Op Bank,JPCB0000011,425836011,KANALDA BRANCH,"RANE WADA,KANALDA,DIST-JALGAON",(0257 ) 2467212,KANALDA,JALGAON,MAHARASHTRA
JPCB0000012,The Jalgaon Peoples Co-Op Bank,JPCB0000012,425836012,MAHABAL COLONY BRANCH,"NEAR MAHABAL POLICE CHAUKI,MAHABAL COLONY,JALGAON-425002",(0257 ) 2261512,JALGAON,JALGAON,MAHARASHTRA
JPCB0000013,The Jalgaon Peoples Co-Op Bank,JPCB0000013,452999013,BHUSAWAL BRANCH,"SHOP NO.1,2,3,4 NISARGA PLAZA,NEAR PANDURANG TALKIS,JAMNER ROAD  BHUSAWAL.,DIST-JALGAON",(0258) 2229988,BHUSAWAL,JALGAON,MAHARASHTRA
JPCB0000014,The Jalgaon Peoples Co-Op Bank,JPCB0000014,424999014,PACHORA BRANCH,"LAXMI PLAZA, BHADGAON ROAD,PACHORA,DIST-JALGAON",(02596) 240185,PACHORA,JALGAON,MAHARASHTRA
JPCB0000015,The Jalgaon Peoples Co-Op Bank,JPCB0000015,425836015,LEWA BORDING BRANCH,"LEWA BOARDING SHOPPING COMPLEX,JALGAON-425001",(0257) 2240649,JALGAON,JALGAON,MAHARASHTRA
JPCB0000016,The Jalgaon Peoples Co-Op Bank,JPCB0000016,431836002,AURANGABAD BRANCH,"6,ANNAPURNA TOWER,KUSHAL NAGAR,ADALAT ROAD ,AURANGABAD",(0240) 2344836,AURANGABAD,AURANGABAD,MAHARASHTRA
JPCB0000017,The Jalgaon Peoples Co-Op Bank,JPCB0000017,411109252,PIMPRI BRANCH,"KAMLA CROSS,SHOP NO 1,,2,3,4 OPP PCMC PIMPRI,DIST: PUNE",(020) 27424490,PIMPRI,PUNE,MAHARASHTRA
JPCB0000018,The Jalgaon Peoples Co-Op Bank,JPCB0000018,411109255,HADAPSAR BRANCH,"104, S.NO.84, VAIBHAV ,COMMERCIAL COMPLEX, PUNE-SOLAPUR ROAD, HADAPSAR-PUNE",(020) 26812852,PUNE,PUNE,MAHARASHTRA
JPCB0000019,The Jalgaon Peoples Co-Op Bank,JPCB0000019,424836019,DHULE BRANCH,"4773 - C, GARUD BAG-DHULE",(02562) 235487,DHULE,DHULE,MAHARASHTRA
JPCB0000020,The Jalgaon Peoples Co-Op Bank,JPCB0000020,411109259,PAUD ROAD BRANCH,"135/12 B, PLOT NO.1,PRABHA SOC. PAUD RD,PUNE",(020) 25447893,PUNE,PUNE,MAHARASHTRA
JPCB0000021,The Jalgaon Peoples Co-Op Bank,JPCB0000021,400109255,DOMBIVILI BRANCH,"BHADASAWALE BUILDING,AGARKAR ROAD, DOMBIVALI (E),DIST:THANE",(0251) 2430166,DOMBIVILI,THANE,MAHARASHTRA
